plant,date,work_center,,machine,order,grade,emp,shift,qty,scrap,setup_plan,machine_plan,machine_actual,labor_plan
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,20478,1,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,20478,2,149,,1.00,3.04,0.02,0.02
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,20478,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,20803,1,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,20803,2,240,12,1.00,5.14,0.02,0.02
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,20803,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,21317,1,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,21317,2,42,,1.00,0.86,0.05,0.05
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115069980,KCPK30,21317,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115158741,CM1,20478,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115158741,CM1,20478,3,75,10,0.66,2.26,0.02,0.02
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115158741,CM1,21303,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115158741,CM1,21303,3,248,,0.66,6.60,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115174669,CG5,20478,1,145,,1.00,2.41,3.87,3.53
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115174669,CG5,21317,1,203,,1.00,3.37,0.07,0.07
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,20478,1,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,20478,2,134,,1.00,3.56,3.83,3.83
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,20478,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,20803,1,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,20803,2,130,,1.00,3.46,0.03,0.03
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,20803,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,21317,1,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,21317,2,109,,1.00,2.90,2.02,1.68
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115190822,KT315,21317,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115170830,KC522M,20478,1,159,,0.75,3.18,0.03,0.03
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115170830,KC522M,20478,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115170830,KC522M,20803,1,109,,0.75,2.18,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115170830,KC522M,20803,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115170830,KC522M,21317,1,140,,0.75,2.80,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115170830,KC522M,21317,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115122450,KCU10,20813,1,239,,0.66,3.97,7.62,7.28
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115122450,KCU10,21294,1,175,3,0.66,2.96,0.03,0.03
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115186833,KC5010,21303,1,329,,0.66,5.46,0.02,0.02
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115186833,KC5010,21303,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115186833,KC5010,21303,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,47668,115158944,KC725M,20813,2,154,,0.75,2.56,0.23,0.23
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,47668,115158944,KC725M,21294,2,17,1,0.75,0.30,0.02,0.02
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,47668,115158944,KC725M,21303,2,103,,0.75,1.71,6.10,5.77
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,47668,115158945,KC725M,21303,1,49,,0.75,0.81,1.92,1.92
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,47668,115158945,KC725M,21303,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,47668,115158945,KC725M,21303,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,48182,115166801,KCU25,20813,3,226,,0.66,4.77,0.03,0.03
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,48182,115166801,KCU25,21294,3,260,,0.66,5.49,7.88,7.55
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,48182,115166801,KCU25,21299,3,260,,0.66,5.49,0.10,0.10
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,48183,115086939,KC5010,21294,3,203,6,1.00,5.14,0.12,0.12
