Plant,Posting Date,Work Center,,Machine Number,Grade,Material,,MFG Part Number,Order,Employee Number,Shifts,Order Count,"Operation 
Count","Confirmed
Qty","Scrap
Actual","Setup 
Plan","Machining
Plan","Machining
Actual","Labor 
Plan","Labor
Actual","Activity 4
Actual","Activity 4
Plan","Activity 5
Actual","Activity 5
Plan","Activity 6
Actual","Activity 6
Plan"
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC5010,1832296,KENLOC MP MEDIUM POSITIVE INSERT,#,115356484,63508,1,1,1,760,19,0.5,3.04,0.02,,0.02,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,KCP25,3751656,KENLOC RP ROUGHING POSITIVE INSERT,#,115347977,21242,1,1,1,340,14,0.5,0.67,1.1,,1.1,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,KCP25,4075306,KENLOC MP MEDIUM POSITIVE INSERT,#,115356482,21242,1,1,1,650,14,0.5,1.26,1.17,,1.17,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,KCU10,4050692,KENLOC MP MEDIUM POSITIVE INSERT,#,115356483,63508,3,1,1,616,19,0.5,2.6,1.58,,1.58,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,WP25CT,4170546,NEGATIVE INSERT GEO MR,#,115360819,21242,2,1,1,308,12,0.5,0.74,0.22,,0.22,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,WP25CT,4170546,NEGATIVE INSERT GEO MR,#,115360819,63508,2,1,1,270,3,0.5,0.63,2.05,,2.05,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,WP25CT,4170567,NEGATIVE INSERT GEO MR,#,115361140,21242,2,1,1,300,14,0.5,0.72,0.07,,0.07,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCK20,3753932,SCREW ON FW FINISHING WIPER INSERT,#,115122373,21242,1,1,1,400,26,0.42,0.81,0.08,,0.08,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCP10,3769006,SCREW ON FP LIGHT FINISHING INSERT,#,115361129,21242,2,1,1,780,25,0.5,1.61,1.75,,1.75,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCU25,3769424,SCREW ON FP LIGHT FINISHING INSERT,#,115361127,21242,2,1,1,680,22,0.5,1.4,0.95,,0.95,,,,,,
OR01,25.02.2016,PRS3R,3R PRESS OSTERWALDER,#,KCM15B,5641048,KENLOC MR ROUGHING POSITIVE INSERT,#,115339981,#,1,1,1,300,,0.42,0.57,0.57,,,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCK20,3639875,SCREW ON MP MEDIUM POSITIVE INSERT,#,115364907,20986,2,1,1,350,19,0.5,0.74,1.17,,1.17,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP10,3744947,SCREW ON MP MEDIUM POSITIVE INSERT,#,115364910,20986,1,1,1,350,11,0.5,0.72,1.52,,1.52,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP10B,5697960,SCREW ON LF LIGHT FINISHING INSERT,#,115361134,63858,3,1,1,"1,080",96,0.5,2.35,2.67,,2.67,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25,3639877,SCREW ON MP MEDIUM POSITIVE INSERT,#,115364908,20986,2,1,1,,,X,,,,,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25,3639877,SCREW ON MP MEDIUM POSITIVE INSERT,#,115364908,20986,3,1,1,260,19,0.5,0.56,0.72,,0.72,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,K313,2244958,KENLOC MS MEDIUM SHARP INSERT,#,115364877,63858,3,1,1,527,19,0.5,1.26,1.87,,1.87,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,K313,2244958,KENLOC MS MEDIUM SHARP INSERT,#,115364878,20986,1,1,1,270,9,0.5,0.64,2.78,,2.78,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,K313,2244958,KENLOC MS MEDIUM SHARP INSERT,#,115364878,63858,1,1,1,250,3,0.5,0.58,1.08,,1.08,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCM15,3744872,SCREW ON MP MEDIUM POSITIVE INSERT,#,115364909,20986,1,1,1,792,16,0.5,1.62,3.18,,3.18,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25,3753448,KENLOC MN MEDIUM NEGATIVE INSERT,#,115364913,20986,1,1,1,740,19,0.5,1.44,0.45,,0.45,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25,3753448,KENLOC MN MEDIUM NEGATIVE INSERT,#,115364914,20986,2,1,1,740,7,0.5,1.42,1.88,,1.88,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCU10,4050712,KENLOC RP ROUGHING POSITIVE INSERT,#,115368668,63858,3,1,1,283,18,0.5,1.75,2.33,,2.33,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,WP25CT,4171527,NEGATIVE INSERT GEO RH,#,115364915,20986,2,1,1,896,13,0.5,2.09,0.05,,0.05,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,WP25CT,4171527,NEGATIVE INSERT GEO RH,#,115364915,21227,2,1,1,184,,0.5,0.42,1.07,,1.07,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC522M,6128776,INSERT SCREW-ON SPCL VCET33 R-.100,#,115365241,63928,3,1,1,50,17,0.5,0.16,2.02,,2.02,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCM15B,5640909,SCREW ON MF MEDIUM FINISHING INSERT,#,115339854,63508,3,1,1,300,15,0.5,0.63,0.78,,0.78,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCP05,3768931,SCREW ON FP LIGHT FINISHING INSERT,#,115324826,61301,1,1,1,360,17,0.5,0.75,2.28,,2.28,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCP10,3768940,SCREW ON FP LIGHT FINISHING INSERT,#,115290908,63508,3,1,1,"1,080",17,0.5,2.19,1.32,,1.32,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCP10,3768940,SCREW ON FP LIGHT FINISHING INSERT,#,115290909,61301,1,1,1,360,8,0.5,0.74,0.1,,0.1,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU25,3769418,SCREW ON FP LIGHT FINISHING INSERT,#,115372227,61301,2,1,1,"1,140",23,0.5,2.33,2.83,,2.83,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU25,3769418,SCREW ON FP LIGHT FINISHING INSERT,#,115372228,61301,2,1,1,200,3,0.5,0.41,0.12,,0.12,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU25,3769418,SCREW ON FP LIGHT FINISHING INSERT,#,115372228,63928,2,1,1,940,9,0.5,1.9,1.65,,1.65,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,WM15CT,4168741,POSITIVE INSERT GEO FP,#,115290906,61301,1,1,1,830,9,0.5,1.68,2.92,,2.92,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC410M,3649187,MILL 1-10 INSERT R=0.8,#,115368694,21361,2,1,1,720,13,0.5,2.05,1.3,,1.3,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC410M,3649187,MILL 1-10 INSERT R=0.8,#,115368695,21361,2,1,1,370,10,0.5,1.06,0.3,,0.3,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC410M,3649187,MILL 1-10 INSERT R=0.8,#,115368695,63508,2,1,1,270,4,0.5,0.77,3.95,,3.95,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC510M,3753417,MILL 1-10 INSERT R=0.8,#,115364918,21361,1,1,1,720,26,0.5,2.09,1.12,,1.12,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC522M,3775016,MILL 1-10 INSERT R=0.8,#,115364920,64891,3,1,1,591,28,0.5,1.73,2.78,,2.15,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC725M,3775017,MILL 1-10 INSERT R=0.8,#,115364921,64891,3,1,1,640,16,0.5,1.84,0.02,,0.02,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCPK30,3775018,MILL 1-10 INSERT R=0.8,#,115364922,21361,1,1,1,617,16,0.5,1.77,3.42,,3.42,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC410M,2271089,18MM ENDMILL INSERT .03 0.8MM RAD,#,115368696,64863,3,1,1,720,13,0.5,2.05,2.65,,2.65,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332052,64863,3,1,1,640,7,0.5,1.81,0.02,,0.02,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332053,21242,1,1,1,640,4,0.5,1.8,2.25,,2.25,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332054,21242,1,1,1,640,6,0.5,1.81,0.27,,0.27,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332055,21242,1,1,1,640,6,0.5,1.81,1.45,,1.45,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332056,21242,1,1,1,640,8,0.5,1.81,0.47,,0.47,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332057,21242,2,1,1,640,6,0.5,1.81,1.87,,1.87,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332058,21242,2,1,1,640,6,0.5,1.81,1.15,,1.15,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332059,21242,2,1,1,100,,0.5,0.28,0.02,,0.02,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3641734,MILL 1-10 INSERT R=0.8,#,115332059,63877,2,1,1,540,7,0.5,1.53,2.08,,2.08,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCPK30,3641736,MILL 1-10 INSERT R=0.8,#,115372261,63877,2,1,1,640,20,0.5,1.85,0.58,,0.58,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCK15,3752040,SCREW ON MF MEDIUM FINISHING INSERT,#,115364940,61301,1,1,1,"1,140",20,0.5,2.67,1.05,,1.05,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCK15,3752040,SCREW ON MF MEDIUM FINISHING INSERT,#,115368708,61301,1,1,1,"1,140",15,0.5,2.66,1.02,,1.02,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10,3749454,SCREW ON MF MEDIUM FINISHING INSERT,#,115364939,61301,1,1,1,100,3,0.5,0.24,0.85,,0.85,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10,3749454,SCREW ON MF MEDIUM FINISHING INSERT,#,115364939,64863,1,1,1,"1,040",33,0.5,2.47,3.02,,3.02,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP25,3753423,SCREW ON MF MEDIUM FINISHING INSERT,#,115368709,61301,2,1,1,850,22,0.5,2.01,0.58,,0.58,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP25,3753423,SCREW ON MF MEDIUM FINISHING INSERT,#,115368709,63928,2,1,1,290,3,0.5,0.67,1.13,,1.13,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,WM25CT,4173033,NEGATIVE INSERT GEO MR,#,115364975,64863,3,1,1,600,5,0.5,1.39,1.78,,1.78,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,1832360,KENLOC MP MEDIUM POSITIVE INSERT,#,115364962,64891,3,1,1,140,531,0.5,1.41,,,,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,1865871,K LOCK INSERT,#,115361167,21361,1,1,1,320,92,0.5,1.15,3.15,,3.15,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,1865871,K LOCK INSERT,#,115361168,21361,2,1,1,320,45,0.5,1.02,1.1,,1.1,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,1865871,K LOCK INSERT,#,115361169,21361,2,1,1,320,34,0.5,0.99,1,,1,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,1865871,K LOCK INSERT,#,115361170,63508,2,1,1,320,50,0.5,1.04,0.27,,0.27,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KCM25,5324931,TOP NOTCH PROFILING INSERT,#,115244708,21361,1,1,1,300,18,0.5,0.95,0.17,,0.17,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KCP10B,5592100,KENLOC MR MEDIUM ROUGHING INSERT,#,115364966,64891,3,1,1,570,55,0.5,1.44,2.93,,2.28,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,K68,1160039,KENLOC CHIP CONTROL INSERT,#,115361177,21242,1,1,1,340,11,0.5,0.81,0.32,,0.32,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC850,1160255,KENLOC CHIP CONTROL INSERT,#,115361176,21242,1,1,1,500,4,0.5,0.61,0.2,,0.2,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC850,1160255,KENLOC CHIP CONTROL INSERT,#,115361176,63508,1,1,1,180,7,0.5,0.22,0.15,,0.15,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,WP15CT,4171128,NEGATIVE INSERT GEO UR,#,115361223,63508,3,1,1,710,16,0.5,1.67,3.6,,3.6,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,WP25CT,4170534,NEGATIVE INSERT GEO UR,#,115361222,63508,3,1,1,580,16,0.5,1.37,1.6,,1.6,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,WS10PT,5301400,NEGATIVE INSERT ROUGHING,#,115290919,21242,2,1,1,340,130,0.5,1.08,0.35,,0.35,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,K20K,4165821,POSITIVE INSERT,#,115364949,21242,2,1,1,250,13,0.5,0.61,0.02,,0.02,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,K20K,4165821,POSITIVE INSERT,#,115364949,63877,2,1,1,320,4,0.5,0.75,0.17,,0.17,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,KC5010,1871014,SCREW ON LF LIGHT FINISHING INSERT,#,115364886,21242,1,1,1,"1,160",55,0.42,4.01,1.4,,1.4,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,KC5010,1871014,SCREW ON LF LIGHT FINISHING INSERT,#,115364887,21242,2,1,1,"1,160",20,0.42,3.89,0.65,,0.65,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,KT315,1620374,SCREW ON LF LIGHT FINISHING INSERT,#,115364885,21242,1,1,1,420,18,0.42,1.45,1.38,,1.38,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,KTP10,3769056,SCREW ON FP LIGHT FINISHING INSERT,#,115361128,21242,1,1,1,680,18,0.5,1.4,0.05,,0.05,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,TN20K,4166422,POSITIVE INSERT,#,115368725,63877,2,1,1,300,3,0.5,0.7,1.45,,1.45,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,#,KCP10,3749273,KENLOC RP ROUGHING POSITIVE INSERT,#,115308581,#,3,1,1,,,0.5,,,,,,,,,,
OR01,26.02.2016,PRS3R,3R PRESS OSTERWALDER,#,KCU25,4121719,KENLOC MS MEDIUM SHARP INSERT,#,115348048,#,3,1,1,,,0.5,,,,,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCK20,3755539,SCREW ON MF MEDIUM FINISHING INSERT,#,115364903,21161,2,1,1,132,8,0.42,0.27,0.05,,0.05,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCK20,3755539,SCREW ON MF MEDIUM FINISHING INSERT,#,115364903,21227,2,1,1,328,3,0.42,0.63,1.5,,1.5,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCM15B,5641094,SCREW ON MF MEDIUM FINISHING INSERT,#,115364906,21161,2,1,1,570,10,0.5,1.16,2.37,,2.37,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP10B,5413190,SCREW ON MF MEDIUM FINISHING INSERT,#,115364905,21161,2,1,1,570,16,0.5,1,2.35,,2.35,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25,3639877,SCREW ON MP MEDIUM POSITIVE INSERT,#,115364908,21227,3,1,1,100,,0.5,0.2,0.28,,0.28,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25,3753391,SCREW ON MF MEDIUM FINISHING INSERT,#,115364869,21227,3,1,1,340,21,0.5,0.69,1.52,,1.52,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25,3753419,SCREW ON MF MEDIUM FINISHING INSERT,#,115364902,21161,1,1,1,792,16,0.5,1.54,,,,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5387612,KENLOC MW MEDIUM WIPER INSERT,#,115372319,21161,1,1,1,872,14,0.5,2.04,6.22,,6.22,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5387612,KENLOC MW MEDIUM WIPER INSERT,#,115372319,21227,1,1,1,260,11,0.5,0.62,0.93,,0.93,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5387612,KENLOC MW MEDIUM WIPER INSERT,#,115372320,21161,2,1,1,965,14,0.5,2.25,0.83,,0.83,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5387612,KENLOC MW MEDIUM WIPER INSERT,#,115372320,21227,2,1,1,167,4,0.5,0.39,0.93,,0.93,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,WP25CT,4170566,NEGATIVE INSERT GEO MR,#,115372252,21227,3,1,1,300,12,0.5,0.72,3.75,,3.75,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,WP25CT,4171527,NEGATIVE INSERT GEO RH,#,115364916,21227,3,1,1,"1,135",14,0.5,2.64,4.37,,4.37,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,1871042,SCREW ON LF LIGHT FINISHING INSERT,#,115368745,21044,1,1,1,"1,120",18,0.5,1.94,2.87,,1.28,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,1871171,SCREW ON UF ULTRA-FINE FINISHING INSERT,#,115304610,21044,1,1,1,"1,092",17,0.5,1.89,2.7,,1.17,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCP25,3639762,SCREW ON MP MEDIUM POSITIVE INSERT,#,115368705,21044,2,1,1,"1,100",22,0.5,2.24,2.8,,0.97,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCP25,3751709,SCREW ON UF ULTRA-FINE FINISHING INSERT,#,115304609,63928,3,1,1,680,17,0.5,1.32,1.28,,1.28,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC410M,3649187,MILL 1-10 INSERT R=0.8,#,115372259,63508,3,1,1,640,38,0.5,1.9,0.43,,0.43,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC410M,3649187,MILL 1-10 INSERT R=0.8,#,115372260,63508,3,1,1,640,56,0.5,1.95,1.43,,1.43,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC510M,3753417,MILL 1-10 INSERT R=0.8,#,115364919,21044,1,1,1,360,50,0.5,1.15,1.45,,0.57,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC510M,3753417,MILL 1-10 INSERT R=0.8,#,115364919,63508,1,1,1,440,150,0.5,1.65,1.37,,1.37,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,TN10P,4166636,POSITIVE INSERT,#,115368680,21044,2,1,1,"1,092",17,0.5,2.55,3.03,,1.15,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,TN20P,4166637,POSITIVE INSERT,#,115368681,21044,2,1,1,500,13,0.5,1.18,1.13,,0.4,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,TN20P,4166637,POSITIVE INSERT,#,115368681,63508,2,1,1,640,4,0.5,1.48,1.17,,1.17,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,TN6540,4071257,APPT160408PDSRMM   TN6540,#,115368616,21044,1,1,1,560,30,0.5,1.36,2.53,,1.2,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC522M,3774919,MILL 1-10 INSERT R=1.6,#,115316949,21269,1,1,1,400,15,0.5,1.16,3.53,,3.53,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC725M,3124699,INSERT MILL 1-18 R=6 4 MM,#,115372267,63877,2,1,1,640,24,0.5,1.86,0.67,,0.67,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCPK30,3641736,MILL 1-10 INSERT R=0.8,#,115372262,63877,3,1,1,640,27,0.5,1.87,0.98,,0.98,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCPK30,3641736,MILL 1-10 INSERT R=0.8,#,115372263,63877,3,1,1,640,12,0.5,1.83,2.08,,2.08,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCPK30,3641736,MILL 1-10 INSERT R=0.8,#,115372264,63877,3,1,1,640,8,0.5,1.81,0.55,,0.55,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCPK30,3641736,MILL 1-10 INSERT R=0.8,#,115372265,21269,1,1,1,160,2,0.5,0.45,1.15,,1.15,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCPK30,3641736,MILL 1-10 INSERT R=0.8,#,115372265,63877,1,1,1,480,7,0.5,1.36,0.07,,0.07,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCPK30,3641736,MILL 1-10 INSERT R=0.8,#,115372266,21269,1,1,1,640,8,0.5,1.81,1.2,,1.2,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,WP25PM,5415314,VSM11 MILLING INSERT R=1.2 MM,#,115372323,21269,2,1,1,640,20,0.5,1.85,0.03,,0.03,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,WP25PM,5415314,VSM11 MILLING INSERT R=1.2 MM,#,115372324,21269,2,1,1,640,8,0.5,1.81,1.73,,1.73,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10,3749454,SCREW ON MF MEDIUM FINISHING INSERT,#,115368707,21044,1,1,1,"1,100",35,0.5,2.61,3.48,,1.58,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP25,3753423,SCREW ON MF MEDIUM FINISHING INSERT,#,115368710,63928,3,1,1,"1,140",11,0.5,2.65,1.93,,1.93,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP25B,5387557,SCREW ON MF MEDIUM FINISHING INSERT,#,115368712,63928,3,1,1,800,8,0.5,1.86,3.6,,3.6,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP30,3753767,SCREW ON MF MEDIUM FINISHING INSERT,#,115368711,63928,3,1,1,340,11,0.5,0.81,0.17,,0.17,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCPK30,3852396,12MM PSTS -SGP DAISY MEDIUM GEOMETRY,#,115364935,21044,2,1,1,"1,050",19,0.5,2.99,2.98,,1.25,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCPK30,3852396,12MM PSTS -SGP DAISY MEDIUM GEOMETRY,#,115364936,21044,2,1,1,"1,050",8,0.5,2.96,2.43,,1,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCU10,3769373,SCREW ON FP LIGHT FINISHING INSERT,#,115364938,63928,2,1,1,680,20,0.5,1.61,3.78,,3.78,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,1865871,K LOCK INSERT,#,115361171,63508,3,1,1,320,20,0.5,0.95,1.97,,1.97,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,1865871,K LOCK INSERT,#,115361172,63508,3,1,1,320,69,0.5,1.09,2.4,,2.4,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,1865871,K LOCK INSERT,#,115361173,63508,3,1,1,320,61,0.5,1.07,0.23,,0.23,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,WK20CT,4171928,NEGATIVE INSERT GEO RH,#,115364955,21044,1,1,1,300,6,0.5,0.61,1.43,,0.55,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,WM25CT,4172694,VNMG160404FF   WM25CT,#,115368742,63508,2,1,1,300,20,0.5,0.67,1.27,,1.27,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,WP25CT,4170501,NEGATIVE INSERT GEO UR,#,115343916,21269,2,1,1,400,14,0.5,0.95,0.05,,0.05,,,,,,
OR01,27.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,WP25CT,4170501,NEGATIVE INSERT GEO UR,#,115343916,63877,2,1,1,750,10,0.5,1.75,0.02,,0.02,,,,,,
